,,,,【時間帯(60)】,【時間帯(60)】,【時間帯(60)】,8:00,8:00,8:00,9:00,9:00,9:00,10:00,10:00,10:00,11:00,11:00,11:00,12:00,12:00,12:00,13:00,13:00,13:00,14:00,14:00,14:00,15:00,15:00,15:00,16:00,16:00,16:00,17:00,17:00,17:00,18:00,18:00,18:00,19:00,19:00,19:00,20:00,20:00,20:00,21:00,21:00,21:00,22:00,22:00,22:00,23:00,23:00,23:00,24:00:00,24:00:00,24:00:00
,,,,売上点数,売上金額,値引数量3,売上点数,売上金額,値引数量3,売上点数,売上金額,値引数量3,売上点数,売上金額,値引数量3,売上点数,売上金額,値引数量3,売上点数,売上金額,値引数量3,売上点数,売上金額,値引数量3,売上点数,売上金額,値引数量3,売上点数,売上金額,値引数量3,売上点数,売上金額,値引数量3,売上点数,売上金額,値引数量3,売上点数,売上金額,値引数量3,売上点数,売上金額,値引数量3,売上点数,売上金額,値引数量3,売上点数,売上金額,値引数量3,売上点数,売上金額,値引数量3,売上点数,売上金額,値引数量3,売上点数,売上金額,値引数量3
【期間】,,【カテゴリ/商品】,,416135 ,90662603 ,178752 ,4 ,737 ,2 ,9787 ,1964564 ,5 ,19681 ,4084492 ,5 ,30167 ,6665172 ,13 ,29348 ,6863289 ,42 ,21965 ,4999777 ,1411 ,22901 ,5299737 ,1457 ,25472 ,5856499 ,1271 ,32507 ,7732182 ,2085 ,38773 ,9174097 ,9859 ,43115 ,10283022 ,26480 ,29452 ,7299127 ,24129 ,29446 ,6097437 ,28610 ,38014 ,7147554 ,37902 ,35266 ,5738683 ,35249 ,9821 ,1397043 ,9817 ,416 ,59191 ,415 
2016年01月01日(金),,92851023,三元豚手作りロースのソースかつ重,6,2190 ,5,,,,,,,,,,,,,1,498 ,0,,,,,,,,,,,,,1 ,398 ,1 ,2 ,796 ,2 ,2 ,498 ,2 ,,,,,,,,,,,,,,,
2016年01月02日(土),,92851023,三元豚手作りロースのソースかつ重,6,2538 ,3,,,,,,,,,,,,,1,498 ,0,,,,,,,2 ,996 ,0 ,,,,,,,1 ,448 ,1 ,2 ,596 ,2 ,,,,,,,,,,,,,,,
2016年01月03日(日),,92851023,三元豚手作りロースのソースかつ重,6,2788 ,4,,,,,,,1,498 ,0,,,,1,498 ,0,3,1344 ,3 ,,,,1 ,448 ,1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016年01月04日(月),,92851023,三元豚手作りロースのソースかつ重,6,2188 ,6,,,,,,,,,,,,,,,,,,,2 ,896 ,2 ,,,,1 ,398 ,1 ,1 ,298 ,1 ,1 ,298 ,1 ,,,,1 ,298 ,1 ,,,,,,,,,,,,
2016年01月05日(火),,92851023,三元豚手作りロースのソースかつ重,6,2288 ,5,,,,,,,,,,1,498 ,0,,,,,,,1 ,448 ,1 ,1 ,448 ,1 ,,,,,,,3 ,894 ,3 ,,,,,,,,,,,,,,,,,,
2016年01月06日(水),,92851023,三元豚手作りロースのソースかつ重,9,3732 ,6,,,,,,,,,,,,,,,,1,448 ,1 ,1 ,448 ,1 ,1 ,448 ,1 ,,,,1 ,498 ,0 ,2 ,596 ,2 ,3 ,1294 ,1 ,,,,,,,,,,,,,,,
2016年01月07日(木),,92851023,三元豚手作りロースのソースかつ重,6,2138 ,5,,,,,,,,,,,,,1,498 ,0,1,448 ,1 ,,,,,,,,,,4 ,1192 ,4 ,,,,,,,,,,,,,,,,,,,,,
2016年01月08日(金),,92851023,三元豚手作りロースのソースかつ重,6,2338 ,4,,,,1,498 ,0,1,498 ,0,,,,,,,1,448 ,1 ,,,,,,,,,,3 ,894 ,3 ,,,,,,,,,,,,,,,,,,,,,
2016年01月09日(土),,92851023,三元豚手作りロースのソースかつ重,6,2138 ,5,,,,,,,,,,,,,1,498 ,0,,,,,,,,,,1 ,448 ,1 ,1 ,298 ,1 ,3 ,894 ,3 ,,,,,,,,,,,,,,,,,,
2016年01月10日(日),,92851023,三元豚手作りロースのソースかつ重,6,2588 ,4,,,,,,,1,498 ,0,1,498 ,0,,,,,,,2 ,896 ,2 ,,,,,,,1 ,398 ,1 ,1 ,298 ,1 ,,,,,,,,,,,,,,,,,,
2016年01月11日(月),,92851023,三元豚手作りロースのソースかつ重,6,2138 ,6,,,,,,,,,,,,,,,,1,448 ,1 ,,,,,,,,,,4 ,1392 ,4 ,1 ,298 ,1 ,,,,,,,,,,,,,,,,,,
2016年01月12日(火),,92851023,三元豚手作りロースのソースかつ重,6,1788 ,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,3 ,894 ,3 ,3 ,894 ,3 ,,,,,,,,,,,,,,,,,,
2016年01月13日(水),,92851023,三元豚手作りロースのソースかつ重,6,1988 ,5,,,,1,498 ,0,,,,,,,,,,,,,,,,,,,,,,1 ,298 ,1 ,4 ,1192 ,4 ,,,,,,,,,,,,,,,,,,
2016年01月14日(木),,92851023,三元豚手作りロースのソースかつ重,6,2238 ,5,,,,,,,,,,1,498 ,0,,,,,,,1 ,448 ,1 ,,,,,,,3 ,994 ,3 ,1 ,298 ,1 ,,,,,,,,,,,,,,,,,,
2016年01月15日(金),,92851023,三元豚手作りロースのソースかつ重,6,2138 ,5,,,,,,,,,,,,,1,498 ,0,1,448 ,1 ,,,,,,,,,,,,,4 ,1192 ,4 ,,,,,,,,,,,,,,,,,,
2016年01月16日(土),,92851023,三元豚手作りロースのソースかつ重,6,2238 ,5,,,,,,,,,,,,,,,,1,498 ,0 ,1 ,448 ,1 ,,,,,,,2 ,696 ,2 ,2 ,596 ,2 ,,,,,,,,,,,,,,,,,,
2016年01月17日(日),,92851023,三元豚手作りロースのソースかつ重,6,2588 ,4,,,,,,,2,996 ,0,,,,,,,,,,2 ,896 ,2 ,,,,,,,1 ,398 ,1 ,1 ,298 ,1 ,,,,,,,,,,,,,,,,,,
2016年01月18日(月),,92851023,三元豚手作りロースのソースかつ重,6,1492 ,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 ,298 ,1 ,,,,1 ,298 ,1 ,1 ,249 ,1 ,3 ,647 ,3 ,,,,,,
