date,youbi,month,SKUcode,item,urisuu,urikin,nesage,nine_urisuu,nine_urikin,nine_nesage,ten_urisuu,ten_urikin,ten_nesage,eleven_urisuu,eleven_urikin,eleven_nesage,noon_urisuu,noon_urikin,noon_nesage,one_urisuu,one_urikin,one_nesage,two_urisuu,two_urikin,two_nesage,three_urisuu,three_urikin,three_nesage,four_urisuu,four_urikin,four_nesage,five_urisuu,five_urikin,five_nesage,six_urisuu,six_urikin,six_nesage,seven_urisuu,seven_urikin,seven_nesage,eight_urisuu,eight_urikin,eight_nesage,pm_nine_urisuu,pm_nine_urikin,pm_nine_nesage,pm_ten_urisuu,pm_ten_urikin,pm_ten_nesage,pm_eleve_urisuu,pm_eleven_urikin,pm_eleven_nesage
2017年01月01日(日),日,1月,92851023,三元豚手作りロースのソースかつ重,4,1792,1,,,,3,1494,0,,,,,,,,,,,,,,,,,,,,,,,,,1,298,1,,,,,,,,,,,,
2017年01月02日(月),月,1月,92851023,三元豚手作りロースのソースかつ重,12,3532,11,,,,,,,,,,,,,,,,,,,1,448,1,1,398,1,1,298,1,1,298,1,2,796,1,,,,2,498,2,4,796,4,,,
2017年01月03日(火),火,1月,92851023,三元豚手作りロースのソースかつ重,12,4380,10,,,,,,,1,498,0,,,,,,,,,,1,448,1,1,498,0,3,1144,3,2,896,2,,,,,,,2,498,2,2,398,2,,,
2017年01月04日(水),水,1月,92851023,三元豚手作りロースのソースかつ重,12,3983,9,,,,,,,1,498,0,1,498,0,,,,1,448,1,,,,,,,2,796,1,,,,,,,,,,6,1494,6,1,249,1,,,
2017年01月05日(木),木,1月,92851023,三元豚手作りロースのソースかつ重,4,1942,1,,,,,,,1,498,0,2,996,0,,,,1,448,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017年01月06日(金),金,1月,92851023,三元豚手作りロースのソースかつ重,4,1392,3,,,,,,,,,,,,,1,498,0,,,,,,,,,,,,,3,894,3,,,,,,,,,,,,,,,
2017年01月07日(土),土,1月,92851023,三元豚手作りロースのソースかつ重,4,1942,1,,,,1,498,0,1,498,0,1,498,0,1,448,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017年01月08日(日),日,1月,92851023,三元豚手作りロースのソースかつ重,12,4580,7,,,,,,,3,1494,0,,,,,,,,,,,,,,,,1,298,1,2,996,0,,,,2,796,2,3,747,3,1,249,1,,,
2017年01月09日(月),月,1月,92851023,三元豚手作りロースのソースかつ重,3,1244,3,,,,,,,,,,,,,,,,,,,,,,1,448,1,2,796,2,,,,,,,,,,,,,,,,,,
2017年01月10日(火),火,1月,92851023,三元豚手作りロースのソースかつ重,12,4231,9,,,,,,,,,,1,498,0,,,,1,448,1,,,,1,398,1,3,1294,1,,,,,,,1,398,1,2,498,2,3,697,3,,,
2017年01月11日(水),水,1月,92851023,三元豚手作りロースのソースかつ重,4,1892,1,,,,1,498,0,,,,2,996,0,,,,,,,,,,1,398,1,,,,,,,,,,,,,,,,,,,,,
2017年01月12日(木),木,1月,92851023,三元豚手作りロースのソースかつ重,4,1592,2,,,,1,498,0,1,498,0,,,,,,,,,,,,,,,,1,298,1,1,298,1,,,,,,,,,,,,,,,
2017年01月13日(金),金,1月,92851023,三元豚手作りロースのソースかつ重,4,1592,2,,,,,,,,,,2,996,0,,,,,,,,,,,,,2,596,2,,,,,,,,,,,,,,,,,,
2017年01月14日(土),土,1月,92851023,三元豚手作りロースのソースかつ重,4,1892,2,,,,1,498,0,,,,1,498,0,,,,2,896,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017年01月15日(日),日,1月,92851023,三元豚手作りロースのソースかつ重,4,1842,3,,,,,,,,,,,,,1,498,0,1,448,1,2,896,2,,,,,,,,,,,,,,,,,,,,,,,,
2017年01月16日(月),月,1月,92851023,三元豚手作りロースのソースかつ重,4,1592,2,,,,,,,1,498,0,,,,1,498,0,,,,,,,,,,,,,2,596,2,,,,,,,,,,,,,,,
2017年01月17日(火),火,1月,92851023,三元豚手作りロースのソースかつ重,4,1542,3,,,,,,,,,,1,498,0,,,,,,,,,,1,448,1,1,298,1,1,298,1,,,,,,,,,,,,,,,
2017年01月18日(水),水,1月,92851023,三元豚手作りロースのソースかつ重,4,1892,2,,,,,,,1,498,0,1,498,0,,,,,,,1,448,1,1,448,1,,,,,,,,,,,,,,,,,,,,,
2017年01月19日(木),木,1月,92851023,三元豚手作りロースのソースかつ重,12,4428,10,,,,,,,,,,,,,1,498,0,,,,,,,1,498,0,,,,4,1342,4,2,896,2,,,,4,1194,4,,,,,,
2017年01月20日(金),金,1月,92851023,三元豚手作りロースのソースかつ重,4,1342,4,,,,,,,,,,,,,,,,,,,,,,1,448,1,1,298,1,2,596,2,,,,,,,,,,,,,,,
2017年01月21日(土),土,1月,92851023,三元豚手作りロースのソースかつ重,4,1742,2,,,,,,,1,498,0,1,498,0,,,,,,,1,448,1,,,,,,,1,298,1,,,,,,,,,,,,,,,
2017年01月22日(日),日,1月,92851023,三元豚手作りロースのソースかつ重,10,3384,7,,,,,,,1,498,0,,,,1,448,1,,,,,,,,,,,,,2,596,2,2,996,0,,,,1,249,1,3,597,3,,,
2017年01月23日(月),月,1月,92851023,三元豚手作りロースのソースかつ重,4,1942,1,,,,1,498,0,1,498,0,1,498,0,1,448,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017年01月24日(火),火,1月,92851023,三元豚手作りロースのソースかつ重,4,1542,4,,,,,,,,,,,,,1,448,1,,,,,,,2,796,2,1,298,1,,,,,,,,,,,,,,,,,,
2017年01月25日(水),水,1月,92851023,三元豚手作りロースのソースかつ重,8,3184,7,,,,,,,,,,,,,,,,,,,,,,,,,1,498,0,3,1344,3,2,746,2,,,,2,596,2,,,,,,
2017年01月26日(木),木,1月,92851023,三元豚手作りロースのソースかつ重,4,1942,1,,,,,,,,,,1,498,0,2,996,0,,,,1,448,1,,,,,,,,,,,,,,,,,,,,,,,,
2017年01月27日(金),金,1月,92851023,三元豚手作りロースのソースかつ重,4,1692,2,,,,,,,,,,2,996,0,,,,,,,,,,,,,1,398,1,1,298,1,,,,,,,,,,,,,,,
2017年01月28日(土),土,1月,92851023,三元豚手作りロースのソースかつ重,4,1742,3,,,,,,,,,,1,498,0,1,448,1,,,,,,,,,,2,796,2,,,,,,,,,,,,,,,,,,
2017年01月29日(日),日,1月,92851023,三元豚手作りロースのソースかつ重,4,1642,4,,,,,,,,,,,,,,,,1,448,1,,,,,,,3,1194,3,,,,,,,,,,,,,,,,,,
2017年01月30日(月),月,1月,92851023,三元豚手作りロースのソースかつ重,4,1942,1,,,,2,996,0,,,,1,498,0,,,,1,448,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017年01月31日(火),火,1月,92851023,三元豚手作りロースのソースかつ重,4,1692,3,,,,,,,1,498,0,,,,,,,1,448,1,1,448,1,,,,,,,1,298,1,,,,,,,,,,,,,,,
2017年02月01日(水),水,2月,92851023,三元豚手作りロースのソースかつ重,4,1692,3,,,,1,498,0,,,,,,,,,,1,448,1,1,448,1,,,,1,298,1,,,,,,,,,,,,,,,,,,
2017年02月02日(木),木,2月,92851023,三元豚手作りロースのソースかつ重,4,1192,4,,,,,,,,,,,,,,,,,,,,,,,,,2,596,2,2,596,2,,,,,,,,,,,,,,,
2017年02月03日(金),金,2月,92851023,三元豚手作りロースのソースかつ重,4,1792,3,,,,,,,,,,1,498,0,,,,1,448,1,1,448,1,,,,1,398,1,,,,,,,,,,,,,,,,,,
2017年02月04日(土),土,2月,92851023,三元豚手作りロースのソースかつ重,4,1392,4,,,,,,,,,,,,,,,,,,,,,,2,796,2,1,298,1,1,298,1,,,,,,,,,,,,,,,
2017年02月05日(日),日,2月,92851023,三元豚手作りロースのソースかつ重,12,4729,7,,,,,,,3,1494,0,1,498,0,,,,,,,,,,1,498,0,1,448,1,1,448,1,,,,1,348,1,2,597,2,2,398,2,,,
