youbi,SKUcode,item,urisuu,urikin,nesage,nine_urisuu,nine_urikin,nine_nesage,ten_urisuu,ten_urikin,ten_nesage,eleven_urisuu,eleven_urikin,eleven_nesage,noon_urisuu,noon_urikin,noon_nesage,one_urisuu,one_urikin,one_nesage,two_urisuu,two_urikin,two_nesage,three_urisuu,three_urikin,three_nesage,four_urisuu,four_urikin,four_nesage,five_urisuu,five_urikin,five_nesage,six_urisuu,six_urikin,six_nesage,seven_urisuu,seven_urikin,seven_nesage,eight_urisuu,eight_urikin,eight_nesage,pm_nine_urisuu,pm_nine_urikin,pm_nine_nesage,pm_ten_urisuu,pm_ten_urikin,pm_ten_nesage,pm_eleve_urisuu,pm_eleven_urikin,pm_eleven_nesage,
2017年03月22日(水),92855021,うどん＆煮込みカツ丼セット,8 ,2850 ,2 ,,,,1 ,380 ,0 ,3 ,1140 ,0 ,1 ,380 ,0 ,1 ,380 ,0 ,,,,1 ,342 ,1 ,,,,,,,1 ,228 ,1 ,,,,,,,,,,,,,,,,
2017年03月27日(月),92855021,うどん＆煮込みカツ丼セット,8 ,2432 ,4 ,,,,,,,2 ,760 ,0 ,2 ,760 ,0 ,,,,,,,,,,,,,,,,3 ,684 ,3 ,1 ,228 ,1 ,,,,,,,,,,,,,
2017年03月28日(火),92855021,うどん＆煮込みカツ丼セット,6 ,2148 ,3 ,,,,,,,2 ,796 ,0 ,1 ,398 ,0 ,,,,,,,,,,,,,1 ,358 ,1 ,1 ,318 ,1 ,1 ,278 ,1 ,,,,,,,,,,,,,
2017年03月29日(水),92855021,うどん＆煮込みカツ丼セット,5 ,1750 ,3 ,,,,,,,,,,2 ,796 ,0 ,1 ,358 ,1 ,,,,1 ,358 ,1 ,,,,,,,1 ,238 ,1 ,,,,,,,,,,,,,,,,
2017年03月30日(木),92855021,うどん＆煮込みカツ丼セット,6 ,1428 ,6 ,,,,,,,,,,,,,,,,,,,,,,,,,2 ,476 ,2 ,3 ,714 ,3 ,1 ,238 ,1 ,,,,,,,,,,,,,
2017年03月31日(金),92855021,うどん＆煮込みカツ丼セット,7 ,2266 ,4 ,,,,1 ,398 ,0 ,2 ,796 ,0 ,,,,,,,1 ,358 ,1 ,,,,,,,,,,3 ,714 ,3 ,,,,,,,,,,,,,,,,
2017年04月01日(土),92855021,うどん＆煮込みカツ丼セット,6 ,2109 ,2 ,,,,,,,,,,1 ,398 ,0 ,2 ,796 ,0 ,1 ,398 ,0 ,,,,,,,,,,1 ,318 ,1 ,,,,,,,1 ,199 ,1 ,,,,,,,
2017年04月02日(日),92855021,うどん＆煮込みカツ丼セット,6 ,2228 ,4 ,,,,2 ,796 ,0 ,,,,,,,,,,4 ,1432 ,4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017年04月03日(月),92855021,うどん＆煮込みカツ丼セット,6 ,1988 ,4 ,,,,2 ,796 ,0 ,,,,,,,2 ,716 ,2 ,,,,,,,,,,,,,1 ,238 ,1 ,,,,1 ,238 ,1 ,,,,,,,,,,
2017年04月04日(火),92855021,うどん＆煮込みカツ丼セット,6 ,2188 ,2 ,,,,,,,1 ,398 ,0 ,2 ,796 ,0 ,2 ,756 ,1 ,,,,,,,,,,,,,1 ,238 ,1 ,,,,,,,,,,,,,,,,
2017年04月05日(水),92855021,うどん＆煮込みカツ丼セット,6 ,1788 ,6 ,,,,,,,,,,,,,2 ,716 ,2 ,,,,1 ,358 ,1 ,,,,,,,2 ,476 ,2 ,,,,1 ,238 ,1 ,,,,,,,,,,
2017年04月06日(木),92855021,うどん＆煮込みカツ丼セット,6 ,2068 ,4 ,,,,1 ,398 ,0 ,,,,1 ,398 ,0 ,,,,1 ,358 ,1 ,1 ,358 ,1 ,,,,1 ,318 ,1 ,1 ,238 ,1 ,,,,,,,,,,,,,,,,
2017年04月07日(金),92855021,うどん＆煮込みカツ丼セット,6 ,1829 ,4 ,,,,,,,2 ,796 ,0 ,,,,,,,,,,,,,,,,,,,3 ,834 ,3 ,,,,,,,1 ,199 ,1 ,,,,,,,
2017年04月08日(土),92855021,うどん＆煮込みカツ丼セット,6 ,2228 ,1 ,,,,,,,5 ,1990 ,0 ,,,,,,,,,,,,,,,,,,,1 ,238 ,1 ,,,,,,,,,,,,,,,,
