date,Total precipitation(mm),Temperature(℃),Snowfall(cm),Snow accumulation(cm)
2017年3月30日9時,--,5.2,--,--
2017年3月30日10時,--,7.0,--,--
2017年3月30日11時,--,8.2,--,--
2017年3月30日12時,--,11.3,--,--
2017年3月30日13時,--,12.5,--,--
2017年3月30日14時,--,15.3,--,--
2017年3月30日15時,--,14.4,--,--
2017年3月30日16時,--,14.2,--,--
2017年3月30日17時,--,11.9,--,--
2017年3月30日18時,--,10.5,--,--
2017年3月30日19時,0.0,10.0,--,--
2017年3月30日20時,0.5,7.3,--,--
2017年3月30日21時,0.0,7.4,--,--
2017年3月30日22時,0.0,6.7,--,--
2017年3月30日23時,--,5.7,--,--
